id,type,text1,text2,text3,text4,notes
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
elysium,FACTION,"An ancient, space-faring civilization with a distinctly elven appearance, the Elysium combine advanced biotechnology with spiritual traditions. Their ships, constructed from a self-healing, wooden-like living armor, excel in energy-based combat. The organic nature of their vessels makes them incompatible with conventional shield technology, though their remarkable regenerative capabilities compensate for this weakness.","The Elysium emerged from the Collapse relatively unscathed, having isolated themselves in two densely populated star systems. After centuries of isolation, recent resource depletion and population pressure have driven them to adopt an aggressive expansionist policy. Their belief in their biological and cultural superiority fuels their conviction that they alone are worthy stewards of the Sector. Their core worlds remain secretive and heavily defended, while their expeditionary fleets probe outward, bringing them into increasing conflict with other powers.",,,"Elysium faction description"
elysium_void,FACTION,"Mysterious invaders.","No information.",,,"Elysium void faction description"
elys_starforgerepair,SHIP_SYSTEM,"Channels the ship's living armor's regenerative properties through a specialized projection system to repair the hull of nearby allied ships.
Automatically targets the most damaged allied ship within range.
Generates hard flux to repair hull.
Pause repair if flux levels become dangerous.","The Elysium living armor's remarkable self-healing properties were eventually weaponized as support technology. By catalyzing and projecting the regenerative resin through specialized emitters, Elysium support vessels can repair their allies in the heat of battle.",,,
elys_sensoryboost,SHIP_SYSTEM,"Temporarily stimulates the ship's living armor to produce specialized sensory filaments, enhancing the ship's sensor capabilities and boosting its speed.
","Elysium engineers discovered that their living ship armor could be temporarily stimulated to grow sensory filaments that detect subtle spatial disturbances. These sensory enhancements also synchronize with the ship's engines, allowing for brief but significant mobility increases.",,,
temporaloverdrive,SHIP_SYSTEM,"Accelerates the ship's living armor's metabolic processes, creating a localized temporal distortion field.
Significantly increases ship speed, maneuverability, and weapon cooldown rates temporarily. Creates 4 temporal distorions of the ship that act as decoys.
Generates moderate flux during activation.","Elysium bioscientists discovered that with precise biochemical stimulation, their living ship armor can briefly synchronize its cellular processes to manipulate the fabric of local spacetime. This creates a temporal acceleration field that enhances all ship systems at the cost of significant strain on the armor tissue. The crew will age faster, but for their long lived species it's a small sacrifice.",,,
elys_voidsingularity,SHIP_SYSTEM,"Creates a powerful gravitational singularity at the target location.
Pulls nearby enemy ships toward the center, disrupting their maneuvers.
Vents 40% of current flux when activated.
Singularity power increases with the amount of flux vented.","By channeling excess energy through specialized conduits in the living armor, Elysium warships can create localized distortions in space. These 'void singularities' manifest as swirling aqua-blue vortices that bend the trajectory of enemy vessels, providing both tactical advantage and an efficient flux venting mechanism.",,,
# Energy Weapons
elys_tacticlaser,WEAPON,"A precise, purple energy beam tuned to interact with phase-field distortions. Often employed both as point defense and as a specialized countermeasure against phase-capable vessels.","Elysium engineers discovered that by carefully calibrating their energy weapons to a specific quantum frequency, they could create beams capable of interacting with phase-shifted matter. While initially deployed as defensive countermeasures, these weapons proved effective at disrupting phase systems and do modest damage.",,,

elys_energy_blaster_small,WEAPON,"A compact energy weapon that channels the living ship's power through specialized crystalline nodes. Fires a continuous beam that builds up to release an explosive energy pulse.","Early Elysium explorers discovered naturally occurring crystalline formations that could channel and amplify energy. These were eventually cultivated alongside the living ship armor to create weapons capable of delivering both sustained damage and concentrated energy bursts.",,,

elys_energy_blaster_medium,WEAPON,"More powerful variant of the Elysium energy blaster, featuring additional focusing arrays that increase both beam intensity and explosive payload capacity.","With the discovery of more efficient cultivation methods, Elysium weapon designers were able to grow larger, more complex crystal matrices capable of channeling significantly greater energy flows without shattering under pressure.",,,

elys_energy_blaster_large,WEAPON,"Heavy energy weapon system that requires substantial power grid integration. The charge-release cycle creates a devastating explosive pulse capable of destroying smaller vessels outright.","Elite Elysium warships carry these heavy blasters grown from rare crystal formations cultivated over decades. The crystal matrices are interwoven with living ship material to facilitate the massive energy transfers required to power these weapons.",,,

elys_energy_blaster_large_alt,WEAPON,"Advanced energy devastator that incorporates multiple crystal arrays to split its charged energy into a wide-pattern shotgun blast. EMP harmonics disrupt ship systems caught in the blast radius.","The culmination of Elysium energy weapon technology, these systems represent the successful fusion of their understanding of energy projection, living materials, and harmonic resonance. The resulting weapon creates reality-distorting energy cascades that overwhelm defensive systems.",,,

# Torpedo Weapons
elys_flowertrp_s,WEAPON,"Compact torpedo launcher that fires energy projectiles. The torpedoes unfold in flight, revealing petal-like energy fields that do extra damage to standard shield harmonics.","Elysium's 'flower' weapon systems are named for their distinctive appearance during deployment, where energy sheath components unfold like blossoms as they approach their targets. This design emerged from studies of natural defense mechanisms in Elysium flora.",,,

elys_flowertrp_m,WEAPON,"Medium torpedo system capable of launching pairs of guided energy projectiles. The expanded power core allows for greater damage against heavily shielded targets.","After several encounters with heavily shielded vessels of other factions, Elysium weapon researchers developed methods to make their flower torpedoes resonate at the precise frequency needed to destabilize energy shields.",,,

elys_flowertrp_l,WEAPON,"Heavy torpedo system that fires a devastating salvo of guided energy projectiles. The ship's living armor forms specialized launch chambers to accommodate the massive torpedo bodies.","Elite Elysium warships carry these impressive weapon systems that require dedicated growth chambers within the living hull. The ship must divert substantial energy to charge these weapons, but their battlefield impact is undeniable.",,,

# Missile Weapons
elys_swarm_small,WEAPON,"Rack-mounted micro-missile launcher that deploys clouds of small, agile projectiles. While individually weak, their sheer numbers can overwhelm point defense systems and suppress shield regeneration.","Inspired by the defensive swarm behaviors of native Elysium insects, these weapons unleash clouds of small semi-autonomous projectiles. Each contains a tiny fragment of specially cultivated crystal that resonates with shield frequencies.",,,

elys_swarm_med,WEAPON,"Expanded missile rack system that launches larger swarms with improved guidance systems. The increased warhead size provides better shield suppression with minimal reduction in speed.","Mid-sized Elysium vessels often rely on these systems to compensate for their lack of traditional shield technology. By keeping enemy shields constantly suppressed, they create openings for their powerful energy weapons.",,,

elys_swarm_large,WEAPON,"Massive missile battery that blankets targets with overwhelming numbers of guided projectiles. The sheer volume of incoming fire can force even larger vessels to redirect power to defensive systems.","Elysium flagship vessels deploy these impressive weapon systems to control large areas of the battlefield. The distinctive blue-cyan contrails of swarm missiles have become a dreaded sight to crews that have previously engaged Elysium forces.",,,

# Kinetic/Explosive Weapons
elys_torpedo_small,WEAPON,"Unguided but powerful torpedo designed for close-range engagements. The specialized warhead contains concentrated energy that intensifies as distance decreases.","Unlike their guided 'flower' counterparts, these assault torpedoes are simple, direct weapons. They exemplify a more aggressive combat doctrine favored by certain Elysium ship captains who prefer overwhelming force over tactical flexibility.",,,

elys_torpedo_medium,WEAPON,"Twin-tube launcher system that fires a pair of heavy torpedoes with staggered trajectories. Most effective when fired at close range against larger vessels.","Medium Elysium warships use these weapons to devastating effect in close engagements. The torpedoes' energy signatures interact with each other during flight, creating harmonic resonance patterns that amplify their destructive potential.",,,

ELYS_Starbane,SHIP,"A swift attack frigate characterized by its sleek, spiky silhouette and exceptional maneuverability. The ship's living armor forms razor-like edges that glow with cyan energy during combat. While lightly armored, its temporal overdrive system and high speed make it an elusive target.","The Starbane represents the Elysium philosophy of swift, precise strikes. Its living hull is cultivated from a particularly aggressive strain of armor tissue that metabolizes energy at a higher rate, allowing for temporal distortion fields instead of conventional shields. Elysium scouts and raiders favor these vessels for their ability to outpace nearly any pursuer.",,,

ELYS_Starforge,SHIP,"A specialized support frigate with enhanced regenerative capabilities. Its hull features distinctive petal-like protrusions that serve as projectors for its healing energies. The ship's living armor relies on temporal distortion for defense rather than conventional shields.","Developed during the early expansion phase of Elysium territory, the Starforge was created to extend the longevity of expeditionary fleets. Its hull is cultivated from a rare, symbiotic variant of living armor that can project healing energies beyond its own boundaries. The same biological systems that enable its regenerative abilities also power its temporal overdrive defensive system.",,,

ELYS_Starseeker,SHIP,"A nimble scout frigate featuring an array of sensory filaments that extend from its living hull. These organic sensors provide exceptional detection capabilities, while the ship's temporal overdrive system allows it to escape threats it cannot outrun.","Starseeker vessels form the eyes of Elysium fleets, their hulls specially grown to develop hypersensitive neural pathways that can detect subtle spatial disturbances at extreme ranges. The same biological systems that power their advanced sensors also enable their temporal distortion defenses, allowing them to briefly manipulate local time to avoid incoming fire.",,,

# Ships - Destroyers

ELYS_Aetherblade,SHIP,"A formidable assault destroyer featuring multiple sharp-edged protrusions that house powerful energy weapons. Its reinforced living armor incorporates denser growth patterns and temporal manipulation systems instead of conventional shields.","The Aetherblade emerged from Elysium's need for vessels capable of sustained frontline combat. Its living hull incorporates minerals harvested from asteroid fields, creating a semi-crystalline matrix that channels weapon energy efficiently while generating temporal distortion fields. These fields briefly alter local time flow, allowing incoming fire to pass through space the ship no longer occupies.",,,

